nama_pemain,klub,posisi,umur,market_value,negara,jumlah_goal,jumlah_asis,jumlah_match
Nico González,Manchester City,Gel. Bertahan,23,"Rp695,27Mlyr.",Spanyol,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Kalvin Phillips,Manchester City,Gel. Bertahan,29,"Rp173,82Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Tijjani Reijnders,Manchester City,Gel. Tengah,27,"Rp1.216,71Mlyr.",Belanda,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Mateo Kovacic,Manchester City,Gel. Tengah,31,"Rp347,63Mlyr.",Kroasia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Bernardo Silva,Manchester City,Gel. Serang,31,"Rp556,21Mlyr.",Portugal,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Jérémy Doku,Manchester City,Sayap Kiri,23,"Rp955,99Mlyr.",Belgia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Savinho,Manchester City,Sayap Kiri,21,"Rp869,08Mlyr.",Brasil,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Phil Foden,Manchester City,Sayap Kanan,25,"Rp1.390,53Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Rayan Cherki,Manchester City,Sayap Kanan,22,"Rp782,17Mlyr.",Prancis,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Oscar Bobb,Manchester City,Sayap Kanan,22,"Rp521,45Mlyr.",Norwegia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Erling Haaland,Manchester City,Depan-Tengah,25,"Rp3.128,70Mlyr.",Norwegia,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Omar Marmoush,Manchester City,Depan-Tengah,26,"Rp1.303,62Mlyr.",Mesir,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
